date,open,high,low,close,volume,amount,turnover_rate
2023-09-22,45.15,45.78,44.6,45.6,190086,860075760.97,1.57
2023-09-25,45.3,45.37,44.59,44.88,163975,736028880.43,1.36
2023-09-26,45.05,45.09,43.81,43.87,179234,792045042.13,1.48
2023-09-27,43.64,45.49,43.59,44.62,225420,1005920495.99,1.87
2023-09-28,44.63,45.61,44.3,44.6,217134,972530520.3,1.8
2023-10-09,43.71,44.38,43.07,44.05,181479,793838648.77,1.5
2023-10-10,44.2,45.8,43.87,44.63,278882,1253229366.68,2.31
2023-10-11,44.93,45.07,44.32,44.44,183946,821273005.61,1.52
2023-10-12,44.7,48.42,44.7,48.2,639275,2995294840.65,5.3
2023-10-13,47.8,48.15,46.82,47.25,322708,1530480535.99,2.67
2023-10-16,47.26,47.58,45.0,45.23,307695,1410417528.16,2.55
2023-10-17,45.42,45.96,45.01,45.36,218380,993771648.72,1.81
2023-10-18,45.36,45.36,44.15,44.15,194614,865621620.47,1.61
2023-10-19,43.65,44.06,42.75,42.79,240055,1040877548.34,1.99
2023-10-20,42.4,46.6,42.21,45.41,571758,2576466204.6,4.74
2023-10-23,45.36,45.36,43.09,43.66,298214,1307447140.0,2.47
2023-10-24,43.73,45.76,43.73,44.7,340459,1524873040.88,2.82
2023-10-25,44.9,45.1,43.75,43.89,283551,1256550312.28,2.35
2023-10-26,43.25,43.74,42.46,43.58,274958,1179907766.42,2.28
2023-10-27,43.2,45.84,42.8,45.56,473771,2130533559.88,3.93
2023-10-30,45.1,45.96,45.03,45.73,262928,1198282213.42,2.18
2023-10-31,43.6,44.28,43.0,44.28,523010,2280594520.79,4.33
2023-11-01,43.83,43.83,43.0,43.3,220813,956792983.55,1.83
2023-11-02,43.15,43.47,42.59,42.63,178319,764962200.73,1.48
2023-11-03,42.75,43.26,42.7,43.06,163883,704501664.97,1.36
2023-11-06,43.12,45.15,43.12,44.94,463109,2055598370.31,3.84
2023-11-07,44.62,44.65,43.65,44.45,235148,1039223634.86,1.95
2023-11-08,44.29,44.88,43.85,44.24,248751,1103015367.21,2.06
2023-11-09,44.01,45.07,44.01,44.6,291375,1300184633.34,2.41
2023-11-10,44.62,45.36,44.26,44.81,344268,1544155699.21,2.85
2023-11-13,44.8,45.1,44.02,44.2,235765,1044803447.94,1.95
2023-11-14,44.15,44.43,43.4,43.68,234084,1025404482.77,1.94
2023-11-15,44.5,45.7,44.48,45.14,556808,2514886464.35,4.61
2023-11-16,45.0,45.18,44.26,44.27,269025,1199056949.63,2.23
2023-11-17,43.9,44.21,43.83,44.05,188991,831220415.75,1.57
2023-11-20,44.26,44.37,43.42,44.0,189414,829358965.95,1.57
2023-11-21,44.21,44.42,43.41,43.47,225894,991665238.04,1.87
2023-11-22,43.17,43.23,42.37,42.38,286477,1221595229.54,2.37
2023-11-23,42.2,42.34,41.45,42.33,210617,882722026.39,1.74
2023-11-24,42.33,42.33,41.8,41.84,133436,559756078.83,1.11
2023-11-27,41.51,41.61,40.4,40.4,252643,1028532879.43,2.09
2023-11-28,40.0,40.41,39.6,40.28,200411,802945703.15,1.66
2023-11-29,40.18,40.4,39.43,39.49,186848,742247082.38,1.55
2023-11-30,39.29,39.38,38.5,39.0,220372,857804337.63,1.83
2023-12-01,38.6,39.13,37.78,38.78,291022,1117850162.01,2.41
2023-12-04,38.44,39.39,38.31,38.93,218131,850183308.47,1.81
2023-12-05,38.61,40.8,38.41,39.65,448916,1795215059.2,3.72
2023-12-06,39.4,43.28,39.3,42.33,801920,3380978413.17,6.64
2023-12-07,42.0,42.76,41.36,42.27,401769,1685131627.93,3.33
2023-12-08,42.75,42.96,41.81,42.15,262869,1109435803.18,2.18
2023-12-11,42.02,42.02,40.49,41.47,276855,1136721514.58,2.29
2023-12-12,40.9,41.79,40.67,40.77,167216,684785383.37,1.39
2023-12-13,40.78,40.78,39.68,39.77,183522,733310559.9,1.52
2023-12-14,40.43,40.7,39.44,39.47,172114,688570805.91,1.43
2023-12-15,39.85,41.36,39.84,40.07,339776,1378462265.91,2.81
2023-12-18,39.63,40.66,38.97,39.1,192034,760061544.7,1.59
2023-12-19,39.01,39.78,38.71,39.13,163734,641928303.45,1.36
2023-12-20,39.38,39.41,38.6,38.6,125008,485537878.59,1.04
2023-12-21,38.2,39.61,38.13,39.06,203577,790700787.75,1.69
2023-12-22,39.0,40.89,38.21,39.87,359262,1423360674.24,2.98
2023-12-25,39.99,40.25,39.38,39.92,163875,653096039.36,1.36
2023-12-26,40.38,40.58,39.48,39.9,152493,609034997.93,1.26
2023-12-27,39.74,39.85,38.81,39.18,163661,640634264.21,1.36
2023-12-28,38.98,42.76,38.97,42.37,644395,2675877072.51,5.34
2023-12-29,42.36,43.38,42.08,42.8,373095,1602801311.05,3.09
2024-01-02,42.6,42.69,41.67,41.67,212641,893959700.13,1.76
2024-01-03,41.52,42.19,41.44,41.76,154898,646527219.86,1.28
