date,open,high,low,close,volume,amount,rsi,ema_20,ema_50,ema_60,macd,macd_signal,macd_histogram,bb_upper,bb_middle,bb_lower,ma_5,ma_10,ma_20,volume_ma,volume_ratio
2024-03-29,38.01,39.5,37.8,39.31,182641483.0,7065295249.0,63.00368000215333,36.549755401881484,35.734887783422245,35.75640748904474,1.2273790199428305,0.619649655464544,0.6077293644782865,41.0303830605351,35.262499999999974,29.494616939464848,39.44999999999999,37.69099999999999,35.262499999999974,200692370.0,0.9100569344016417
2024-04-05,39.5,40.48,39.46,40.37,94962479.0,3806857620.0,65.98810815895045,36.913588220749915,35.91665688995471,35.90767281727278,1.3703975038423977,0.7697992251401147,0.600598278702283,41.68427802942165,35.65599999999998,29.62772197057831,39.52199999999999,38.36199999999999,35.65599999999998,176613714.75,0.537684625083738
2024-04-12,40.36,40.36,37.45,38.18,194601830.0,7497396089.0,55.94659436187389,37.03419886639278,36.00541544328982,35.982175347854,1.2921311022954214,0.874265600571176,0.4178655017242454,41.90958589061894,35.91499999999998,29.920414109381014,38.96399999999999,38.61999999999999,35.91499999999998,161941717.75,1.2016781883246388
2024-04-19,38.33,40.6,38.19,39.94,204569425.0,8074014877.0,61.07325779738857,37.310941831498226,36.159712876886296,36.111940090547314,1.3564849916555346,0.9707094787880477,0.3857755128674869,42.31105212460912,36.28699999999998,30.26294787539084,39.187999999999995,38.999999999999986,36.28699999999998,169193804.25,1.2090834289518613
2024-04-26,39.92,40.47,38.5,39.5,129275848.0,5071971930.0,59.21787788182783,37.51942356183173,36.290704528773105,36.22302402200478,1.3563464720185223,1.0478368774341427,0.30850959458437965,42.584079449689455,36.61799999999998,30.651920550310507,39.459999999999994,39.33599999999999,36.61799999999998,155852395.5,0.8294761693284336
2024-05-03,39.56,42.75,39.1,42.12,150564206.0,6224139392.0,65.86732309535604,37.95757369880013,36.519304351174156,36.41636749669315,1.5497838543881741,1.148226272824949,0.4015575815632251,43.26251564137914,37.068999999999974,30.875484358620813,40.02199999999999,39.73599999999999,37.068999999999974,169752827.25,0.8869614040552011
2024-05-10,42.6,43.73,42.1,43.22,216843018.0,9293074786.0,68.2108532184465,38.45875715605726,36.782076729559485,36.639437414834354,1.7714252923770673,1.2728660767353728,0.4985592156416945,43.92232315662352,37.62799999999998,31.33367684337644,40.59199999999999,40.056999999999995,37.62799999999998,175313124.25,1.2368898160230009
2024-05-17,43.38,43.83,41.52,42.25,172946074.0,7371244939.0,64.03557665536923,38.81982790309942,36.99650509310617,36.82339028647913,1.8475098914580812,1.3877948396799145,0.45971505177816674,44.20794140853962,38.131999999999984,32.05605859146035,41.40599999999999,40.18499999999999,38.131999999999984,167407286.5,1.0330857014398833
2024-05-24,42.33,42.71,40.9,41.17,155912789.0,6483362025.0,59.65702890061216,39.043653817089954,37.16017156004319,36.96590208036506,1.7999122424023781,1.4702183202244072,0.3296939221779709,44.267193931743805,38.54149999999998,32.81580606825615,41.65199999999999,40.419999999999995,38.54149999999998,174066521.75,0.8957080743184322
2024-05-31,41.13,42.13,40.7,40.7,138155721.0,5722074917.0,57.804647924846556,39.201401072605194,37.29898836161012,37.088331520353094,1.7046159390977422,1.5170978439990743,0.1875180950986679,44.22184011306127,38.895499999999984,33.5691598869387,41.89199999999998,40.675999999999995,38.895499999999984,170964400.5,0.8080964258989111
2024-06-07,40.73,41.89,40.62,41.1,153376322.0,6332339172.0,58.972245688746206,39.382220018071365,37.44804764154698,37.21986163443988,1.642436602444846,1.5421655956882288,0.10027100675661726,44.07476675818459,39.27299999999998,34.471233241815376,41.68799999999998,40.855,39.27299999999998,155097726.5,0.9889011622617176
2024-06-14,40.95,41.29,39.98,40.93,119037928.0,4826761968.0,58.23470810527459,39.5296276353979,37.58459479285886,37.341505515277916,1.5614421181447753,1.546020900179538,0.015421217965237322,43.73240173222029,39.636499999999984,35.54059826777968,41.22999999999998,40.910999999999994,39.636499999999984,141620690.0,0.8405405170671036
2024-06-21,40.7,41.12,39.33,39.71,126488201.0,5066344728.0,53.1020388610607,39.5468059558362,37.667944016668315,37.41916107215405,1.3828687516060256,1.5133904704648355,-0.13052171885880992,43.49575204413286,39.841999999999985,36.18824795586711,40.72199999999999,41.06399999999999,39.841999999999985,134264543.0,0.9420819389375198
2024-06-28,39.55,40.86,38.91,39.22,148147402.0,5889914478.0,51.151992815163624,39.51568157908989,37.72880895719113,37.47820497142769,1.1881133362083673,1.4483350436135418,-0.2602217074051745,43.250451720336876,39.99599999999999,36.7415482796631,40.33199999999999,40.992,39.99599999999999,136762463.25,1.0832460784885725
2024-07-05,39.02,39.5,37.2,37.7,167995708.0,6420314394.0,45.56248848031526,39.342759523938476,37.727679194164025,37.4854769395776,0.9007338701707894,1.3388148089249914,-0.43808093875420195,43.014696516134,40.07399999999999,37.13330348386598,39.731999999999985,40.812,40.07399999999999,140417309.75,1.1964031236540622
2024-07-12,37.67,39.05,37.43,38.87,153977531.0,5893236852.0,50.08394110782453,39.297734807372905,37.77247608851054,37.53087113827998,0.7586475777462383,1.2227813626892408,-0.4641337849430025,42.96953621390675,40.11149999999999,37.253463786093235,39.28599999999999,40.486999999999995,40.11149999999999,149152210.5,1.0323516526092653
2024-07-19,38.86,39.41,37.8,39.25,146692583.0,5672083945.0,51.49311795358168,39.29318863524215,37.830418202686594,37.58723601899211,0.6689942423395863,1.1120239386193098,-0.44302969627972355,42.95602857748261,40.07349999999999,37.190971422517364,38.94999999999998,40.089999999999996,40.07349999999999,154203306.0,0.9512933724002001
2024-07-26,39.2,39.93,36.74,39.83,205107777.0,7922179565.0,53.64420660528568,39.34431352712385,37.908833175130255,37.66076926427105,0.637396965398878,1.0170985439752234,-0.37970157857634534,42.87081095012467,40.01649999999999,37.162189049875316,38.973999999999975,39.848,40.01649999999999,168443399.75,1.2176658587063456
2024-08-02,40.07,41.03,38.66,40.65,189619598.0,7576893928.0,56.57613884449141,39.46866461977872,38.016329913360444,37.75877682937692,0.670790586423692,0.9478369524649171,-0.277046366041225,42.92003556165322,40.10799999999999,37.29596443834676,39.25999999999998,39.79599999999999,40.10799999999999,173849372.25,1.0907120085962807
2024-08-09,40.6,41.79,40.06,40.3,164872758.0,6734975110.0,54.9777739335085,39.547839417895034,38.10588560303258,37.842095621856366,0.6613891147317545,0.8905473849182846,-0.22915827018653,42.87939182247066,40.21599999999999,37.552608177529315,39.77999999999999,39.75599999999999,40.21599999999999,176573179.0,0.9337361366756612
2024-08-16,40.11,41.15,39.73,41.02,99452999.0,4022483823.0,57.62965342071181,39.688045187619316,38.22016459899209,37.94628920802501,0.7039219888793014,0.853222305710488,-0.1493003168311866,42.952826271888036,40.30149999999999,37.650173728111945,40.20999999999999,39.74799999999999,40.30149999999999,164763283.0,0.6036114186921123
2024-08-23,40.82,42.18,40.31,42.04,145576623.0,5999412098.0,61.123223254922635,39.91204088403652,38.36996206569828,38.0805092339914,0.8105910841358721,0.8446960613955647,-0.03410497725969264,43.14274908213308,40.384999999999984,37.62725091786689,40.76799999999999,39.858999999999995,40.384999999999984,149880494.5,0.9712846457148565
2024-08-30,42.18,42.3,38.36,39.7,181602505.0,7290604146.0,50.77911792636029,39.89184651412828,38.42212041606305,38.13360729189332,0.6982595652156931,0.8154087621595905,-0.11714919694389736,43.05011490668205,40.46099999999999,37.871885093317935,40.74199999999998,39.85799999999999,40.46099999999999,147876221.25,1.2280710412053486
2024-09-06,39.8,40.9,39.61,39.96,138272038.0,5577095583.0,51.756066206498005,39.89833732230654,38.482429419354695,38.19348902002797,0.6230339071988453,0.7769337911674414,-0.1538998839685961,43.05032455461133,40.46199999999999,37.87367544538865,40.603999999999985,39.93199999999999,40.46199999999999,141226041.25,0.9790831547506823
2024-09-13,39.95,39.95,38.28,39.24,126091125.0,4925346910.0,48.863705769012036,39.83563852970592,38.51213806957608,38.22780085543689,0.4995604269041749,0.7214591183147882,-0.22189869141061325,43.05904137898293,40.44899999999999,37.83895862101705,40.39199999999998,40.08599999999999,40.44899999999999,147885572.75,0.8526262748642599
2024-09-20,39.27,41.2,39.19,41.07,99597021.0,4036760985.0,55.648040149050246,39.95319676497202,38.6124463805731,38.32098771263568,0.5431118548567397,0.6857896656231784,-0.1426778107664387,42.910455250199256,40.39649999999999,37.88254474980072,40.40199999999998,40.30599999999999,40.39649999999999,136390672.25,0.7302333756185442
2024-09-27,41.07,45.5,40.6,44.4,295561462.0,12705966406.0,64.79973871371463,40.37670183497468,38.83940926760945,38.520299590909914,0.8366850607471292,0.7159687446479686,0.12071631609916067,43.26925531985359,40.45549999999999,37.64174468014638,40.87399999999998,40.820999999999984,40.45549999999999,164880411.5,1.7925808124271936
